drug_idx,ingredient_rx_cui
488,3653612
2497,3653607
4392,3653797
972,3653022
1742,3653761
1743,3653761
1744,4519428
2617,3886460
3906,3653050
2498,3653142
2499,3653176
4393,3652819
1760,3652819
5349,2825599
1732,1831828
88,1451341
2673,3541393
3238,3653444
3239,6972
3240,5227847
3241,21978
661,21978
2584,21978
662,21978
663,21978
5078,22614
4322,15131
664,51482
1878,33439
1879,524684
4110,524684
4117,126367
4097,19134
4111,19134
4098,19134
4112,3652535
4113,3653903
4102,358516
4118,3653345
4095,3653658
4109,40277
4114,3653529
4101,3653530
4120,3653482
4093,3653593
4115,22086
4100,3295
4119,293359
4094,293359
2679,293359
2680,123677
2681,123677
2682,1313386
2683,795635
4498,795635
3308,795635
1580,795635
5351,795635
1413,304866
2658,304866
5035,304866
5312,304866
5193,770206
1581,770206
5184,770206
4824,770206
1740,771966
1582,754280
5182,164398
5316,1721339
5361,3652943
4945,3652822
1583,9011
5350,3653570
3781,3653357
1325,3653655
3546,3653866
5317,3653923
4430,8168
5191,8168
4944,8168
1584,8168
4809,8168
1322,8168
2713,8168
2714,16875
1585,16875
1323,16875
5195,16875
1586,3854019
1107,3854019
2715,3854019
2716,3854019
2717,3854019
4844,27603
4845,27603
4846,27603
4669,27603
1405,27603
4670,27603
4671,27603
4122,27603
4123,27603
1458,4599
4124,4599
4125,4599
4126,1271607
3652,60787
4127,41499
2615,41499
4472,41499
4128,85259
4129,85259
4130,857937
2899,25326
2900,18062
2901,3653716
2902,54084
2903,1452002
2904,41041
2905,10980
2906,10980
2907,144098
466,8996
5068,3653594
3999,6711
5069,6699
5070,6699
5071,61347
5072,108121
5073,6681
2174,6681
5074,6686
5075,6686
3962,6686
4737,771535
4738,3652667
841,3652644
493,76513
27,33229
28,50458
1441,40979
29,58518
30,31184
2041,16368
2042,6481
2043,39936
2044,3653227
5346,35527
5172,35527
34,4541993
4437,4541383
1776,3713860
1741,66522
4374,72980
4375,72980
4376,3652984
4377,10648
5097,10648
1112,3652516
1642,3652517
990,38627
572,3653992
5098,30557
933,68006
865,2260
2458,2260
934,813205
868,30864
5126,304961
935,3652570
863,3652620
936,1273019
864,3653714
937,3653718
2459,3653900
2460,28157
2461,28157
2462,28157
2463,28157
2464,28157
2465,28157
3722,129975
1883,77906
3723,2191
1170,3641
5241,3653885
1152,20196
3724,20196
1171,20196
5245,20196
3576,603520
1153,63242
1466,3653371
3725,3653422
1884,3542951
1885,31463
1886,31463
1332,2986924
1887,30078
1888,30078
1889,30078
1890,66774
4881,66774
3112,650237
3113,650237
3114,64324
3115,1176020
3116,1831796
3117,1516119
3398,2980094
2444,1121849
2445,3181682
2446,2351398
1225,2827093
1226,7072
1227,66332
1228,68483
1229,68483
1230,68483
1231,60206
1232,86073
3493,86073
3806,86073
5121,86073
5122,86073
4254,62923
3755,731033
4755,86444
3871,294
1084,294
1085,937932
1622,3273487
1086,15020
1087,2342719
1088,7727
1089,11892
1090,772241
1091,65152
1634,3536876
1092,25605
4970,6405
1661,6405
3772,3653776
1594,3653715
4979,1506770
5192,4519167
3773,2713008
4978,3654040
3774,3653559
1410,3652959
4972,3652979
2973,939232
2974,1276807
5230,358708
3878,3652888
2975,3700404
2976,2927178
2977,3653283
2978,3653283
2979,3652880
2980,142931
2981,54094
603,961209
604,6968
4527,3653882
4528,304317
4529,304319
4530,26458
2333,304320
2334,361823
2335,3871424
2336,3653956
2553,3653951
2554,3540035
2555,3652996
2556,3652525
2557,3653827
2558,3653313
17,3273719
1452,768401
72,64088
4390,64088
4391,66101
1470,3652684
1106,3652669
5165,65972
1771,41031
5313,33405
1316,33405
1108,39865
1109,3652811
1179,3652429
1110,8293
3982,8293
1429,8293
5091,8293
1111,13090
2124,13090
1113,26187
5194,26187
1739,26187
1157,7077
1134,36442
1158,36442
1238,36442
5237,33473
1145,77073
374,25627
1159,8221
5254,6226
1450,14987
1143,3540006
1160,14963
5258,40209
1141,45212
1161,3713958
5253,971023
5235,1453933
1167,3653974
1142,10927
386,26236
1162,76080
5259,31965
1140,80719
1163,2698706
5257,2563
1146,379149
3823,1134467
3824,1130428
1318,3653894
5330,3653889
1621,22322
682,22322
3282,3539108
5104,3540012
339,3653361
1319,3653749
3268,3653749
5329,3653584
5105,3653282
1320,3653282
3269,3653359
3825,3653533
3826,3541942
3827,3653532
3036,3653914
3037,3653914
3038,76032
3039,3653915
3040,31862
3041,25270
4909,3653330
4910,3653413
4911,360105
218,3814772
2718,3653409
2719,62648
467,62648
2720,62648
2721,62648
854,62648
911,771650
855,700580
3435,700580
507,42839
856,42839
922,42839
3664,42839
857,3652641
960,4316785
1191,16673
1251,16673
1192,16673
1247,642440
1193,642440
1252,14479
1194,14479
1253,14479
1195,14479
1249,14479
1196,30071
1250,30071
1197,30071
2685,30071
1248,78643
1198,78643
4185,78643
4186,31469
5136,31469
4187,31469
4188,31469
5141,31469
4189,31469
4190,76286
4191,76286
4504,76286
4505,27373
4506,27373
4507,27373
2616,54480
4471,3652564
1971,23660
1972,23660
3257,23660
5347,23660
5348,23660
658,23660
676,23660
659,9170
660,9170
5239,9170
1148,9170
1385,58831
1805,58831
4790,23754
4807,25729
4808,3652539
4255,3653004
1593,3652892
4974,23570
2656,3653005
5196,64871
1595,3653003
4980,4542193
1596,4542192
5353,3652883
4975,3652841
3787,2713522
5319,3653639
5190,937609
4256,3653677
2211,3653638
2212,3653225
2213,3653640
2214,1268876
2215,3653769
2216,524639
2217,3539984
4632,3541960
4633,3653783
2952,40377
2953,40377
2954,68738
4137,68738
3754,28193
4290,50403
4291,50403
4292,37114
4293,772505
4457,772505
1832,71129
3810,71129
4439,40846
1341,40846
4225,1927
4226,1927
4458,39542
1662,39542
3716,19476
3717,19476
3718,22176
5094,22176
1606,15840
1599,15840
1607,15840
1601,35633
4313,57258
4314,140594
4315,140594
4714,44955
690,10137
1419,10137
5151,56396
5144,65967
1545,55936
1515,4519300
505,1832021
1880,936148
3918,64113
3919,2615
3920,2615
3921,3652652
5016,3158
3922,3416
5017,3652653
3923,72155
3924,6020
3925,102834
1435,77015
1427,77015
691,68366
1480,874047
5344,3653122
4200,3653122
5148,3653840
5140,3653840
3800,3539957
3570,3541402
1556,3653966
3639,3653968
1564,3653423
1565,3653973
1566,3653965
468,3654006
469,3654005
3775,3654007
3776,3653970
2668,3653969
1763,3653972
1314,3653971
3777,3539177
3540,3539177
2660,3652960
4516,3653884
3778,4482908
1686,2744850
3779,1620287
5352,30092
1448,30092
1790,30092
3780,30092
5166,11276
1768,11276
5354,39644
1302,39644
1730,39644
5314,39644
4436,39644
3782,39644
4515,3653308
1711,3653575
2649,3653578
5355,1145760
3558,3653577
2655,3653576
2293,3871462
2260,3640212
2261,4288415
2262,4301614
2263,3540732
4466,218640
4446,1136535
4145,538777
4467,31681
4443,70895
2982,17845
3984,25840
2955,72736
2273,3540740
2274,3653895
4468,3653689
2275,3653642
2276,3653706
2277,3653744
1745,3653744
3621,3653768
3622,3653768
3623,3653793
3624,3713057
3625,1098510
3626,11602
3627,57257
3555,24730
3628,24730
3629,24730
3556,24730
3557,24730
2743,1655
2744,10192
2286,41942
2745,41942
2758,65002
2746,205997
428,3652660
2747,76723
2760,3652677
429,1321948
2748,3653792
430,41086
431,41086
5311,25684
5362,25684
1469,916062
4160,216278
278,61450
279,3652486
280,16351
281,16351
282,16351
283,16351
284,16351
285,16351
286,12022
673,12022
3563,2604598
3564,4688584
3565,3884837
3566,2698220
3567,25643
2065,40976
2066,12093
2067,3272698
2068,2934004
3889,5418443
3890,22265
3891,22265
3892,20268
3968,20268
3969,20268
3970,20268
4358,20268
3971,20268
3406,20268
3407,20268
3408,20268
3409,3653790
3410,1960121
3411,165032
645,75770
646,3653416
647,3652902
648,3653226
3237,58677
4325,665
4326,665
4327,665
4328,665
4329,2679
4330,2679
4331,2679
4332,2679
5305,71626
5306,71626
5307,20281
5308,20281
5309,20281
1261,20281
1262,8196
4653,8196
4654,8196
4655,8196
4656,8196
4657,8196
4658,8196
4659,8196
4660,21081
843,21081
844,25942
845,25942
846,25942
847,25942
848,25942
849,25942
850,3652820
851,11259
1840,3896936
1841,754011
1842,1455035
1843,965390
1844,37494
1845,37494
1846,37494
260,74722
1847,74722
261,4519269
1848,3653746
1849,3653746
1850,3179470
1851,4329353
4011,3496793
4012,3653231
4013,16384
4014,285590
4015,68771
4016,57232
4017,3652749
4018,3652750
4019,3652452
3129,3652898
3130,717419
1386,3652727
1387,677814
1388,75470
1389,2928684
1390,3871444
5088,70975
1391,38681
4689,14912
1392,15011
1393,15011
432,14942
2381,14942
2778,8275
2806,3653094
2779,14927
2817,14927
2780,3653096
2816,72151
41,3652845
42,3652864
43,3652442
44,3652442
45,3653942
46,3653942
47,3653942
48,3653825
49,3653733
908,3653738
909,3652870
910,3653465
2917,358123
2918,3700411
912,65374
913,14025
2919,6938
914,53091
1442,72857
5127,72973
873,136123
4355,118168
4356,55723
4357,3653391
4138,3652887
3494,3653457
3495,3653460
3496,3653342
1271,772076
1272,349918
1273,3536914
1274,50461
3472,2744960
3473,3653425
3474,771000
3475,33509
3476,3654011
3477,361921
3478,22029
687,3653906
217,8024
688,55568
442,42105
689,1143018
438,2194201
1668,3652836
1725,717929
3926,717929
1669,3652738
1670,211011
1678,25688
3807,72022
2079,17592
2080,3653500
2081,1874328
3531,1874328
3532,60583
3533,30512
3534,78240
3535,1612882
3440,30899
3441,43319
4257,70313
3442,3653848
3443,3653848
3444,3653848
3445,3653722
483,3653645
484,4519188
485,4086553
4618,4310578
4619,3179929
1572,1328071
4531,937950
1815,14822
1913,3653461
1816,4519730
1817,3653862
1818,25631
1819,673966
692,981
5321,165590
1481,12086
5345,3540013
4197,4550163
1555,2982078
5147,3540010
5145,3540010
3571,3540010
1129,5203371
650,3653437
651,4759132
652,2079437
653,358905
654,3652710
433,2079438
4052,3652489
4053,717871
4054,3652707
4055,5577421
4056,3653850
4057,5577422
1812,5575228
4058,1443775
3298,69632
3299,15707
3300,62619
4059,4234
4060,114872
3301,206049
3302,30310
4149,242531
4150,16971
4444,3653510
4155,3653307
3817,460977
4445,3653509
4151,5577417
4484,3653302
4152,3653555
4153,3653563
4470,3652781
1809,3653478
1456,718096
3819,10164
4154,3653598
4156,3653846
4157,3653739
3939,2960912
3940,3264599
3941,3652723
1397,3535926
1398,2356045
1003,3700400
1004,3848705
2118,3871467
2466,3871441
2119,3652574
2120,25242
2121,3653242
2122,9214
2123,28426
980,69008
981,15109
4177,15109
5227,20264
5228,3653224
5229,11816
5231,70742
3726,603972
5232,2742503
3720,23566
818,23566
819,24321
2579,24321
1891,28356
3727,28356
2590,3539189
2591,5577407
2592,3660206
2593,5577406
3508,3653835
3509,3652933
3510,1869889
3511,936150
2433,3652932
2434,5577408
2435,3652931
2436,3652803
2437,59865
730,65166
1764,3541395
243,38792
244,2000088
245,123091
246,1937
247,54219
1829,24056
1830,12091
4334,12091
1831,12091
1833,12091
1834,3652754
1835,3652753
5132,2723449
1483,3653743
5341,3653743
696,3653741
5133,3653417
5134,3541380
1513,3653115
5135,3653983
1504,3653982
5137,4279595
3653,2350948
4867,74493
4868,3653200
4869,3653181
4870,3652607
4871,3653146
1275,4519126
2724,5238205
2725,4505936
2726,4694272
3218,4694273
5033,4549503
4644,4542165
4645,12373
4646,12373
4647,22252
4648,22252
4649,17887
5187,17887
1587,3653937
5356,3653502
3552,770246
1,150589
3273,18242
686,18242
5102,1562019
1567,5139863
1295,76110
3274,76110
3275,3652860
2998,63829
4570,296806
4571,63810
4572,361987
4573,180108
4574,52657
4575,163748
4576,70203
4577,22499
4578,728803
4579,361904
1862,63384
1863,54547
4760,54547
4775,120436
4761,770438
4762,12228
4763,5011
4764,3653039
4765,3653025
3368,3653034
1718,3654017
3369,3653322
342,35629
343,77379
344,77379
345,43474
346,3653535
347,3541356
348,25746
4402,25746
4403,30859
2155,62740
3942,5321
3943,7445
3944,3653439
3945,3540788
3946,3653429
3947,32950
3948,32950
3949,32950
3950,32950
1696,32950
1697,32950
3803,32950
1698,32950
1699,32950
2642,32950
3804,121780
1700,77410
4508,35976
1701,12498
2645,771957
1702,3653241
1703,40372
2637,350998
434,17642
3133,7080
3134,17628
435,40374
3135,40374
3136,8287
3137,58426
3138,220780
3139,42291
3140,17631
3141,61328
3765,48044
1138,72076
5292,536004
1211,381600
376,126774
4383,126774
4597,126774
3766,142825
3460,24472
4270,24472
3767,126777
4389,24480
3768,24480
1265,24480
3769,24480
1641,24480
1544,543448
1506,614721
3559,717900
3560,5139798
2667,5556517
37,5418318
3561,3652790
3562,3652793
87,3652826
2672,3652616
403,3652531
404,2930789
738,3652643
2697,3652523
5167,3652624
5168,3652568
5169,3652483
5170,30817
1402,73917
5171,3542964
5173,3542964
1345,3652612
1346,40615
1347,20592
1929,40616
1348,3653859
1349,304475
1350,304475
1351,41190
1352,10582
1931,62922
5086,301374
1353,301374
5093,4259
1788,4259
1213,3653585
1214,3653573
1215,3541389
3681,8296
5328,8223
3439,3653736
5331,3653523
1619,677829
685,1614557
3285,2343853
5103,529351
118,4301611
3375,2983812
119,3540702
120,3653408
121,3653803
3376,3653804
3377,3653802
3378,3653855
3527,3653291
3379,83183
3380,2712
1671,30909
3646,3652678
1517,26698
1518,15314
1519,4080091
1070,4287815
1071,2974289
1629,3853921
1072,3818721
1628,3652751
1073,3653517
1074,3540048
1631,37129
1075,4542174
1076,4059161
4540,3700397
4541,5432212
4542,5227836
4543,21234
2788,16410
2789,16410
2790,600370
2791,732290
2773,1327841
2792,13615
2793,3540796
2794,16298
2772,16298
2795,16298
2777,16298
2796,772364
638,11705
1915,11705
2930,360534
3259,360534
639,3652565
887,54483
2931,3540005
2932,66005
2933,1120106
2934,389169
3260,209475
2935,2699902
3258,3653218
1704,10560
2639,9008
2107,14561
2108,72171
1958,3652613
2109,140575
2039,73372
4740,14405
2547,10590
2548,35608
2549,73371
2550,73371
2551,73371
1014,73371
4250,73371
4251,32911
4252,33218
57,33218
4253,33218
58,3653186
4415,3871439
4416,3541404
4417,3653104
4418,4542178
4419,6462
4420,4058848
3323,4059166
22,4032879
4421,4059167
318,3871454
319,3883388
1603,3871446
3833,3854896
3834,939237
1276,2929688
1277,3540698
1278,3540799
3446,12547
3447,12547
3448,3652536
3449,39615
4550,3652631
4551,6044
4552,3652538
4553,3653211
4554,3539954
4555,3653202
4556,18100
4557,18100
224,3653497
225,3540755
226,358430
227,766326
228,76034
229,82966
230,114771
231,6378
232,6168
1420,2598
4172,15491
4173,3653569
4174,15528
3079,4740904
5299,5400718
3080,1615657
3081,1739462
76,718043
77,1695579
1782,1137427
1783,1302054
1737,291140
3370,962517
1784,102139
1785,3273754
1786,1956280
667,243237
3270,53570
1317,69488
1787,69488
2628,26156
1852,16277
1855,16277
1856,74391
1857,74391
1858,767000
1944,172907
1945,172907
693,14758
5322,106291
1487,42665
1553,64079
1182,28277
5342,40805
4192,68485
5150,66561
5143,578
3575,41249
1131,25912
1946,14563
1947,14563
1948,14563
1949,14563
1950,14563
1951,14563
1952,5244461
694,4057
1503,4057
5320,4057
1418,50876
5343,50876
4193,103049
5149,103049
5142,379135
1546,379135
3801,2137694
1128,2137694
695,68746
1484,50436
4194,50436
1554,50436
3250,68742
3251,54157
3252,54157
3253,54157
3254,5577418
3255,4078709
3256,3700393
2279,5577419
700,3652737
701,3653945
702,2845
703,3299
704,3299
705,4759125
706,3536923
5275,3536922
707,3536917
708,73085
2708,73085
1908,74727
1795,602838
1909,10303
5296,1714166
1910,22046
1911,22046
3846,3653278
1912,3536997
1940,637887
1789,77539
1914,32831
3142,32831
3143,32831
3245,18305
3144,3653845
3145,3653279
3146,3653519
3147,3391
3148,3653315
3149,5227832
2781,5227829
2782,5227830
2382,163025
3198,3420
3199,3420
2383,12050
2159,12050
1017,12050
1018,12050
1019,12050
2783,70455
2784,58056
2809,347993
2290,53618
2785,70585
2824,26549
2289,12306
2786,29112
1422,29112
1423,30049
1424,68699
309,3653081
3313,3539956
3314,3652966
3315,3652954
3872,3653002
3873,3539176
3874,54120
3875,12522
5270,12522
5271,8929
5272,8929
5273,58389
1813,55468
1853,55468
4440,13092
4661,54672
4662,1871526
4663,3253985
4664,2606637
4665,4310385
4666,3700407
4667,939230
4668,3652735
4459,3652911
4460,3652911
4069,2604206
4070,1170003
4071,1630394
4072,1630394
4073,717762
4074,717762
4075,3653910
4076,5432206
4672,31448
4673,31448
4674,39925
4675,39925
4715,40373
1600,40373
4404,3652551
2495,19217
2496,10552
4405,19469
4406,19469
4407,25668
4408,25668
1020,3653288
561,3539947
562,60203
4936,60203
1592,1541591
5201,524959
2766,524959
2742,304982
4343,304982
4344,3539185
4345,3653772
807,3540700
808,3653820
809,3652515
810,69717
811,79083
812,8838
888,208926
813,1142934
814,3539955
815,1739768
745,2975435
1001,1831808
582,650171
560,2698385
333,8241
334,3652499
335,3652566
336,1924
337,3652512
1895,20352
2727,86140
2728,25629
2729,34235
2730,384641
2731,209499
2751,1120110
2756,3653144
2752,3652859
2288,3653143
2757,3652921
2753,58721
2755,4542172
2754,5577441
2636,3653659
4598,3653558
1575,3653815
4510,1563714
4511,3540009
4512,3653192
4599,3653205
1212,3653207
3529,3653208
310,5227824
4851,4080453
311,4271578
2480,4518997
2481,4519575
2482,3858051
2483,3882783
2484,3864967
2485,51696
2486,15772
2487,71304
2488,28005
3450,28066
3451,28094
3452,28116
3453,28127
2684,64568
631,5088
2686,53332
2738,33511
3911,25830
2739,3653583
550,31923
551,31923
552,93437
553,17889
554,5574974
555,360736
556,55463
5287,40958
5109,40958
2372,3653257
5110,3652925
5111,19435
5112,70570
5113,70570
5114,70570
2504,70570
5115,137757
5116,137757
4007,3653687
4008,3541972
4009,3653654
4769,3653705
4770,3653574
4771,282247
4772,3652623
4617,4707396
1437,5308
1438,5308
2569,5308
1439,5308
1440,5308
4424,5308
4425,5308
4426,5308
4427,5308
10,5308
4696,5308
2338,3652582
1705,758542
2339,3652448
2763,3652647
3200,1100674
3201,3700391
3202,3555537
3203,11777
3204,11777
3205,11777
2340,11777
3206,11777
3207,11777
2051,11777
3898,11777
3973,11777
4600,11777
4601,11777
4602,16301
4603,16301
4513,16301
1694,16301
1916,18549
1917,8238
1918,40905
1919,14277
1920,63252
4340,22180
1921,74414
4722,4759133
4723,25859
4724,4147
4725,32896
1922,53532
1615,53799
680,946
5107,5320
3276,5320
1616,55021
684,116569
1617,3652742
1321,32838
681,32838
3278,31849
1618,31849
1620,33603
5106,27358
201,27358
202,1962
203,1962
204,1962
205,86728
206,3661282
207,2825616
208,2825616
209,1530072
2580,813171
4388,971637
2581,1880288
2582,245561
886,3541367
2583,57558
2585,47683
2586,393022
1324,48007
31,5555489
32,1832027
3168,1832027
3169,4033633
3170,4542171
3171,5209991
3172,28369
3173,25147
4301,25147
4302,25147
4303,25175
3174,25175
3175,25175
1638,72866
5080,3653102
4005,3653185
1639,3653077
1640,4542167
1643,41038
4003,59690
1644,70072
1672,3540037
1673,3540037
5123,3653938
1674,1176306
1675,2347566
1676,39663
1677,68333
1679,17302
2620,2934
1680,3653114
1681,3653173
1957,3652886
1959,3652844
1960,17725
1961,17725
1962,17725
1963,3537307
1964,4310440
1965,3540778
154,1664205
155,66807
156,39834
1539,3489682
1540,34239
1541,145184
1542,14964
3695,3653871
4792,3653871
4793,20554
4794,3542945
4795,2981308
4796,4279601
4797,3501981
521,2746078
4245,1958126
4246,1611934
4247,1570906
4248,1565750
632,3541403
668,3541403
3072,3652657
669,1276976
670,3652656
4103,3652509
4104,770689
4105,49289
4830,15502
4831,5432211
4346,4522081
615,3652792
616,982025
2609,982025
617,15506
618,3654047
4201,3264621
4202,3653636
2640,3652440
4514,3653116
1714,3653508
4203,2499
891,2499
5022,2499
4852,25826
4853,25826
4854,5227827
4855,3652687
1561,15888
5206,43606
4431,56732
4856,76341
5207,25379
4857,76456
4858,40382
1557,40382
4859,71968
1562,146011
4893,4609
4894,3653872
4895,3653872
4896,3653872
4897,3652983
3464,4316850
3465,3653817
3024,56686
3025,3540772
3026,3653999
2223,3653118
2224,85251
2225,59688
2226,33429
2227,16229
2228,65183
2229,4045824
2230,244404
2231,2346970
4558,963839
4559,7665
4560,1313616
2895,12145
2896,12145
2897,12203
2898,12203
4734,12203
2352,66078
2353,66078
2354,66834
2355,3541400
2356,3542960
2357,3539936
2358,5227826
2359,3541379
2005,3541379
2006,537894
2016,1120386
4676,1142738
3693,66805
4677,3653685
3694,1275
491,3653033
2812,3539181
1726,3653044
3909,3700410
1468,1143
3910,206788
3912,20789
2735,26259
3913,13089
3914,11015
3915,14582
3916,71126
3917,68314
4993,3653280
4378,3653823
4379,7158
4380,3653737
1095,3539173
1096,3653255
1097,3653223
2125,3653252
2126,3653273
1172,28735
1173,28735
3697,35661
1174,38148
1175,38148
1176,25503
1177,3652967
1178,3652978
2321,3653071
2322,3652956
3107,3653017
3108,3652900
388,3652798
3109,3652879
112,796392
2323,796392
2324,3653800
2325,387288
2326,1693912
2327,1531015
2328,1566537
2329,1134659
2674,1134659
3082,4550124
3083,4519646
5300,3653679
3974,721844
4244,721844
3975,3653325
1611,4224790
3976,2717174
3977,4291320
3978,132092
3979,25656
514,20306
515,60389
516,60389
517,50962
518,78792
519,32105
5268,5821
520,14792
1881,3653065
1882,3652853
4473,301508
3811,301508
3838,60696
1239,3652839
1207,243666
1240,2194257
1201,1259
1241,3653626
1202,3653876
1242,7710
1243,31977
1205,34295
1244,60394
1206,11064
3876,69772
3877,41920
5154,286263
5334,72732
5327,3489483
5155,59459
5339,3539962
5325,3852938
5156,40221
5340,1508759
5326,254211
5157,16278
5323,16278
5158,3885063
5159,48504
5160,1700695
5335,17817
5324,20316
5161,20316
5162,60234
5095,3653249
3089,3653250
3090,3652447
3091,5577410
3828,4079904
3092,3653861
3093,39629
3094,39629
3095,39629
1062,39629
1624,71810
1063,71810
1064,5059
1627,5059
1065,5059
1625,5059
1151,58202
1066,53114
1067,53114
1623,3539178
3637,1170013
3638,1532737
3399,3652806
113,3652805
114,3643658
115,3700394
1434,5227841
116,5227823
4347,5227839
4364,593802
4348,14930
4360,3540699
4798,9325
4349,9325
4350,75432
400,12403
401,12403
546,73999
547,215087
611,25405
612,60879
1505,53230
2808,60304
2810,74393
2811,51086
2291,8845
2562,70122
2563,43479
